city,geocode_status,geocode_score,matched_address,lat,lon,station_id,station_name,station_lat,station_lon
"Key West, FL",T,100.0,"Key West, Florida",24.559751100000028,-81.78370319999993,USW00012836,"KEY WEST INTERNATIONAL AIRPORT, FL US",,
"Fresno, CA",T,100.0,"Fresno, California",36.73165400000005,-119.78585599999997,USW00093193,"FRESNO YOSEMITE INTERNATIONAL, CA US",,
"Sioux Falls, SD",T,100.0,"Sioux Falls, South Dakota",43.54731000000004,-96.73129699999998,USW00014944,"SIOUX FALLS FOSS FIELD, SD US",,
"Grand Junction, CO",T,100.0,"Grand Junction, Colorado",39.06537100000003,-108.56953199999998,USW00023066,"GRAND JUNCTION WALKER FIELD, CO US",,
"Grand Island, NE",T,100.0,"Grand Island, Nebraska",40.92002700000006,-98.35141199999998,USW00014935,"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US",,
"Killeen, TX",T,100.0,"Killeen, Texas",31.117810000000077,-97.73112899999995,USW00013959,"WACO REGIONAL AIRPORT, TX US",,
"Greensboro/High Point, NC",T,98.21,"Greensboro Rd, High Point, North Carolina, 27260",35.98715962400007,-79.96852170799997,USW00013723,"GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US",,
"Hayden, CO",T,100.0,"Hayden, Colorado",40.49395030000005,-107.26198629999999,USW00094050,"MEEKER AIRPORT, CO US",,
"Nantucket, MA",T,100.0,"Nantucket, Massachusetts",41.28320800000006,-70.09922999999998,USW00014756,"NANTUCKET MEMORIAL AIRPORT, MA US",,
"Midland/Odessa, TX",M,97.74,"Odessa, Texas",31.849462000000074,-102.37467699999996,USW00023023,"MIDLAND INTERNATIONAL AIRPORT, TX US",,
"Longview, TX",T,100.0,"Longview, Texas",32.494556000000046,-94.74233599999997,USW00003901,"LONGVIEW E TX REGIONAL AIRPORT, TX US",,
"Rogers, AR",T,100.0,"Rogers, Arkansas",36.33440100000007,-94.12576399999995,USW00093993,"FAYETTEVILLE DRAKE FIELD, AR US",,
"Tulsa, OK",T,100.0,"Tulsa, Oklahoma",36.15532700000006,-95.99208299999998,USW00013968,"TULSA INTERNATIONAL AIRPORT, OK US",,
"Texarkana, AR",T,100.0,"Texarkana, Arkansas",33.43033600000007,-94.03893699999998,USW00013977,"TEXARKANA WEBB FIELD, AR US",,
"Wichita Falls, TX",T,100.0,"Wichita Falls, Texas",33.90976000000006,-98.50085399999995,USW00013966,"WICHITA FALLS MUNICIPAL AIRPORT, TX US",,
"Pago Pago, TT",T,91.08,"Pago Pago, Ma'oputasi, Eastern, American Samoa",-14.273280399999976,-170.70296999999997,AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, AS AQ",,
"Abilene, TX",T,100.0,"Abilene, Texas",32.453571200000056,-99.73264029999996,USW00013962,"ABILENE REGIONAL AIRPORT, TX US",,
