iso_a3,country,month,origin_risk,fruit_production_score,risk_bucket,total_passengers,passenger_score,route_risk
PAN,Panama,6,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),549295.0,0.6019868110985175,0.07115983565224908
PAN,Panama,3,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),536845.0,0.5951255691168292,0.07034877992347606
JAM,Jamaica,3,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),210609.0,0.3727542609139368,0.07024872775724705
JAM,Jamaica,4,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),209909.0,0.372134284666649,0.0701318879322511
PAN,Panama,10,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),519852.0,0.585630939752469,0.0692264359573118
PAN,Panama,5,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),517433.0,0.5842668081493569,0.06906518428386009
PAN,Panama,9,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),508007.0,0.578920597691338,0.06843321785113918
PAN,Panama,4,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),483408.0,0.5647302742634224,0.06675580388730155
PAN,Panama,2,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),475957.0,0.5603611433419832,0.06623933636246422
ZAF,South Africa,3,0.2753323366466443,0.8011471292156598,0.25–0.5 (high),84823.0,0.2365598127303564,0.06513256599574162
JAM,Jamaica,9,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),175125.0,0.3399055279455794,0.06405810315162401
JAM,Jamaica,10,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),172516.0,0.3373640824674484,0.06357914602028132
ZAF,South Africa,10,0.2753323366466443,0.8011471292156598,0.25–0.5 (high),80251.0,0.2300961647579727,0.06335291469624388
JAM,Jamaica,11,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),170154.0,0.3350466153214234,0.06314239952078238
JAM,Jamaica,2,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),169598.0,0.334498763535582,0.0630391521672564
PAN,Panama,11,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),422268.0,0.5278107595215313,0.06239161092998475
ZAF,South Africa,11,0.2753323366466443,0.8011471292156598,0.25–0.5 (high),76604.0,0.2248070244399974,0.06189664333364376
AUS,Australia,9,0.4687324102957328,0.7586128825508228,0.25–0.5 (high),24642.0,0.1275035069600603,0.05976502613854781
ZAF,South Africa,4,0.2753323366466443,0.8011471292156598,0.25–0.5 (high),70479.0,0.2156324017688877,0.059370573035755846
CRI,Costa Rica,1,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),287681.0,0.4356520313063539,0.052924296003739116
PER,Peru,12,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),139153.0,0.3029914966614334,0.05230956184514123
CRI,Costa Rica,3,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),279039.0,0.4290585956455878,0.05212330595774847
CRI,Costa Rica,12,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),266063.0,0.4189636990724005,0.05089694809419292
CRI,Costa Rica,7,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),252683.0,0.4082932176644807,0.049600666484207676
PER,Peru,11,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),122393.0,0.2841596724587448,0.0490583667335896
CRI,Costa Rica,2,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),243832.0,0.4010786125916412,0.04872421494264117
CRI,Costa Rica,4,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),241429.0,0.3990973749832444,0.048483528343921285
ETH,Ethiopia,8,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),57064.0,0.1940283806115698,0.04732100825211797
CRI,Costa Rica,8,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),227181.0,0.3871418819948739,0.047031139730261406
SLV,El Salvador,1,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),477446.0,0.5612369852639574,0.047023581285965954
TTO,Trinidad and Tobago,6,0.7570850380394183,0.5381477975217088,0.5–1 (very high),5836.0,0.0620500013258673,0.0469771276141402
