iso_a3,country,month,max_risk,mean_risk,total_risk,top3_mean,high_species_count,moderate_species_count,base_origin_risk,multi_species_boost,origin_country_risk_month
FRA,France,10,0.0018636,0.0003263333333333,0.002937,0.0009663333333333,0,0,0.0015046933333333,1.0,0.0015046933333333
FRA,France,11,0.0018636,0.0003263333333333,0.002937,0.0009663333333333,0,0,0.0015046933333333,1.0,0.0015046933333333
FRA,France,12,0.0004659,8.158333333333333e-05,0.00073425,0.0002415833333333,0,0,0.0003761733333333,1.0,0.0003761733333333
GMB,Gambia,1,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,2,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,3,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,4,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,5,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,6,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,7,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,8,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,9,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,10,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,11,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GMB,Gambia,12,0.63652,0.1048819999999999,0.943938,0.2885726666666666,1,1,0.4973410666666666,1.1,0.5470751733333333
GEO,Georgia,1,0.0017383,0.000578955,0.00578955,0.0017379333333333,0,0,0.0017381533333333,1.0,0.0017381533333333
GEO,Georgia,2,0.0017383,0.000578955,0.00578955,0.0017379333333333,0,0,0.0017381533333333,1.0,0.0017381533333333
GEO,Georgia,3,0.0017383,0.000578955,0.00578955,0.0017379333333333,0,0,0.0017381533333333,1.0,0.0017381533333333
GEO,Georgia,4,0.0017383,0.000578955,0.00578955,0.0017379333333333,0,0,0.0017381533333333,1.0,0.0017381533333333
GEO,Georgia,5,0.0069532,0.00231582,0.0231582,0.0069517333333333,0,0,0.0069526133333333,1.0,0.0069526133333333
GEO,Georgia,6,0.017383,0.00578955,0.0578955,0.0173793333333333,0,0,0.0173815333333333,1.0,0.0173815333333333
GEO,Georgia,7,0.017383,0.00578955,0.0578955,0.0173793333333333,0,0,0.0173815333333333,1.0,0.0173815333333333
GEO,Georgia,8,0.017383,0.00578955,0.0578955,0.0173793333333333,0,0,0.0173815333333333,1.0,0.0173815333333333
GEO,Georgia,9,0.017383,0.00578955,0.0578955,0.0173793333333333,0,0,0.0173815333333333,1.0,0.0173815333333333
GEO,Georgia,10,0.0069532,0.00231582,0.0231582,0.0069517333333333,0,0,0.0069526133333333,1.0,0.0069526133333333
GEO,Georgia,11,0.0017383,0.000578955,0.00578955,0.0017379333333333,0,0,0.0017381533333333,1.0,0.0017381533333333
GEO,Georgia,12,0.0017383,0.000578955,0.00578955,0.0017379333333333,0,0,0.0017381533333333,1.0,0.0017381533333333
DEU,Germany,1,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
DEU,Germany,2,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
DEU,Germany,3,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
DEU,Germany,4,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
DEU,Germany,5,0.0112902,0.0013002599999999,0.0130025999999998,0.0040647333333333,0,0,0.0084000133333333,1.0,0.0084000133333333
