country,common_name,scientific_name,som_index,som_index_clean
EI Salvador,Caribbean Fruit Fly,Anastrepha suspensa,0.093762,0.093762
EI Salvador,Guava Fruit Fly,Bactrocera correcta,2.7e-09,0.0
EI Salvador,Melon Fruit Fly,Bactrocera cucurbitae,0.015118,0.015118
EI Salvador,Oriental Fruit Fly,Bactrocera dorsalis,0.01315,0.01315
EI Salvador,Peach Fruit Fly,Bactrocera zonata,0.013159,0.013159
EI Salvador,Queensland Fruit Fly,Bactrocera tryoni,0.001079,0.001079
EI Salvador,Zeugodacus Tau,Bactrocera tau,0.001079,0.001079
Ecuador,Caribbean Fruit Fly,Anastrepha suspensa,0.066071,0.066071
Ecuador,Guava Fruit Fly,Bactrocera correcta,2.58e-07,0.0
Ecuador,Melon Fruit Fly,Bactrocera cucurbitae,0.079966,0.079966
Ecuador,Mexican Fruit Fly,Anastrepha ludens,0.2766,0.2766
Ecuador,Oriental Fruit Fly,Bactrocera dorsalis,0.061858,0.061858
Ecuador,Peach Fruit Fly,Bactrocera zonata,0.062265,0.062265
Ecuador,Queensland Fruit Fly,Bactrocera tryoni,2.81e-06,0.0
Ecuador,Zeugodacus Tau,Bactrocera tau,2.9e-06,0.0
Egypt,Caribbean Fruit Fly,Anastrepha suspensa,1.03e-09,0.0
Egypt,Guava Fruit Fly,Bactrocera correcta,0.14597,0.14597
Egypt,Melon Fruit Fly,Bactrocera cucurbitae,0.43539,0.43539
Egypt,Mexican Fruit Fly,Anastrepha ludens,1.04e-11,0.0
Egypt,Oriental Fruit Fly,Bactrocera dorsalis,0.17739,0.17739
Egypt,Queensland Fruit Fly,Bactrocera tryoni,0.001239,0.001239
Egypt,Sapote Fruit Fly,Anastrepha serpentina,6.24e-11,0.0
Egypt,Zeugodacus Tau,Bactrocera tau,0.062486,0.062486
Equatorial Guinea,Caribbean Fruit Fly,Anastrepha suspensa,0.021528,0.021528
Equatorial Guinea,Guava Fruit Fly,Bactrocera correcta,4.15e-12,0.0
Equatorial Guinea,Mediterranean Fruit Fly,Ceratitis capitata,0.003227,0.003227
Equatorial Guinea,Melon Fruit Fly,Bactrocera cucurbitae,0.060059,0.060059
Equatorial Guinea,Mexican Fruit Fly,Anastrepha ludens,0.002669,0.002669
Equatorial Guinea,Oriental Fruit Fly,Bactrocera dorsalis,2.24e-07,0.0
Equatorial Guinea,Peach Fruit Fly,Bactrocera zonata,2.35e-07,0.0
Equatorial Guinea,Queensland Fruit Fly,Bactrocera tryoni,0.060055,0.060055
Equatorial Guinea,Sapote Fruit Fly,Anastrepha serpentina,0.002692,0.002692
Equatorial Guinea,Zeugodacus Tau,Bactrocera tau,0.060055,0.060055
